bond_code,bond_name,apply_date,apply_code,player_code,amount_per_stock,plan_amount,actual_amount,result_date,open_date,stock_code,stock_name,conver_price,winning_rate,end_date
113514,威帝转债,2018/7/20,754023,753023,0.555,2.00亿,2.00亿,2018/7/24,2018/8/13,603023,威帝股份,4.85,0.283,2023/7/19
113515,高能转债,2018/7/26,754588,753588,1.268,8.40亿,8.40亿,2018/7/30,2018/8/27,603588,高能环境,9.33,0.337,2024/7/25
113516,苏农转债,2018/8/2,754323,753323,1.726,25.00亿,25.00亿,2018/8/6,2018/8/20,603323,苏农银行,5.67,0.509,2024/8/1
113517,曙光转债,2018/8/6,754019,753019,1.741,11.20亿,11.20亿,2018/8/8,2018/8/23,603019,中科曙光,36.53,1.932,2024/8/6
113518,顾家转债,2018/9/12,754816,753816,2.564,10.97亿,10.97亿,2018/9/14,2018/10/9,603816,顾家家居,36.57,1.248,2024/9/11
113519,长久转债,2018/11/7,754569,753569,1.249,7.00亿,7.00亿,2018/11/9,2018/11/30,603569,长久物流,11.85,0.413,2024/11/6
113520,百合转债,2018/11/8,754313,753313,2.125,5.10亿,5.10亿,2018/11/12,2018/11/26,603313,梦百合,14.28,0.227,2024/11/7
113521,科森转债,2018/11/16,754626,753626,1.467,6.10亿,6.10亿,2018/11/20,2018/12/7,603626,科森科技,8.7,0.329,2024/11/15
113522,旭升转债,2018/11/22,754305,753305,1.048,4.20亿,4.20亿,2018/11/26,2018/12/11,603305,旭升股份,29.6,0.318,2024/11/21
113523,伟明转债,2018/12/10,754568,753568,0.974,6.70亿,6.70亿,2018/12/12,2018/12/26,603568,伟明环保,17.47,0.348,2024/12/9
113524,奇精转债,2018/12/14,754677,753677,1.682,3.30亿,3.30亿,2018/12/18,2019/1/7,603677,奇精机械,14.56,0.574,2024/12/13
113525,台华转债,2018/12/17,754055,753055,0.973,5.33亿,5.33亿,2018/12/19,2019/1/11,603055,台华新材,8.11,0.421,2024/12/16
113526,联泰转债,2019/1/23,754797,753797,1.828,3.90亿,3.90亿,2019/1/25,2019/2/18,603797,联泰环保,8.72,0.146,2025/1/22
113527,维格转债,2019/1/24,754518,753518,4.131,7.46亿,7.46亿,2019/1/28,2019/2/19,603518,锦泓集团,10.52,0.395,2025/1/23
113528,长城转债,2019/3/1,754897,753897,3.553,6.34亿,6.34亿,2019/3/5,2019/3/20,603897,长城科技,24.03,0.038,2025/2/28
113529,绝味转债,2019/3/11,754517,753517,2.439,10.00亿,10.00亿,2019/3/13,2019/4/2,603517,绝味食品,28.51,0.006,2025/3/10
113530,大丰转债,2019/3/27,754081,753081,1.567,6.30亿,6.30亿,2019/3/29,2019/4/18,603081,大丰实业,16.76,0.021,2025/3/26
113531,百姓转债,2019/3/29,754883,753883,1.147,3.27亿,3.27亿,2019/4/2,2019/4/22,603883,老百姓,60.09,0.033,2024/3/28
113532,海环转债,2019/4/2,754817,753817,1.022,4.60亿,4.60亿,2019/4/4,2019/4/24,603817,海峡环保,7.75,0.017,2025/4/1
113533,参林转债,2019/4/3,754233,753233,2.499,10.00亿,10.00亿,2019/4/8,2019/4/24,603233,大参林,36.5,0.055,2025/4/2
113534,鼎胜转债,2019/4/9,754876,753876,2.916,12.54亿,12.54亿,2019/4/11,2019/4/30,603876,鼎胜新材,15.28,0.021,2025/4/8
113535,大业转债,2019/5/9,754278,753278,1.743,5.00亿,5.00亿,2019/5/13,2019/6/3,603278,大业股份,12.56,0.035,2024/5/8
113536,三星转债,2019/5/31,754578,753578,2.139,1.92亿,1.92亿,2019/6/4,2019/6/24,603578,三星新材,19.75,0.03,2025/5/30
113537,文灿转债,2019/6/10,754348,753348,3.636,8.00亿,8.00亿,2019/6/12,2019/7/5,603348,文灿股份,19.93,0.103,2025/6/9
113538,安图转债,2019/6/28,754658,753658,1.626,6.83亿,6.83亿,2019/7/2,2019/7/22,603658,安图生物,64.11,0.035,2025/6/27
113539,圣达转债,2019/7/3,754079,753079,2.67,2.99亿,2.99亿,2019/7/5,2019/7/26,603079,圣达生物,28.78,0.031,2025/7/2
113540,南威转债,2019/7/15,754636,753636,1.253,6.60亿,6.60亿,2019/7/17,2019/8/5,603636,南威软件,10.13,0.064,2025/7/14
113541,荣晟转债,2019/7/23,754165,753165,1.86,3.30亿,3.30亿,2019/7/25,2019/8/13,603165,荣晟环保,18.72,0.063,2025/7/22
113542,好客转债,2019/8/1,754898,753898,2.034,6.30亿,6.30亿,2019/8/5,2019/8/23,603898,好莱客,16.62,0.056,2025/7/31
113543,欧派转债,2019/8/16,754833,753833,3.557,14.95亿,14.95亿,2019/8/20,2019/9/4,603833,欧派家居,101.46,0.056,2025/8/15
113544,桃李转债,2019/9/20,754866,753866,1.517,10.00亿,10.00亿,2019/9/24,2019/10/15,603866,桃李面包,47.54,0.031,2025/9/19
