Cust_ID,Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal
1435,40,233450,102,652,Y,584,1998,64000,54000,0.292292,Active,non-default,NM,"37,587",1
1436,37,278910,90,708,N,482,1076,54000,54000,0.447955,Active,non-default,FL,"40,171",1
1437,37,143200,80,667,Y,484,3790,57000,54000,0.127704,Active,non-default,IL,"45,787",1
1438,42,303050,95,732,Y,1395,2536,60000,54000,0.550079,Active,non-default,OH,"44,160",1
1439,37,177756,95,685,Y,1336,3291,54000,54000,0.405956,Active,non-default,NC,"39,000",1
1440,37,161500,95,755,N,767,1833,54000,54000,0.41844,Active,non-default,NC,"39,000",1
1441,69,85350,97,799,N,398,2135,56000,54000,0.186417,Active,non-default,OK,"38,281",1
1442,46,282150,80,768,Y,586,1733,58000,54500,0.338142,Active,non-default,KS,"43,725",1
1443,37,110450,90,676,Y,836,3333,67000,54500,0.250825,Active,non-default,MN,"55,914",1
1444,42,252000,80,634,N,1224,2500,55000,54500,0.4896,Active,non-default,IA,"43,042",1
1445,87,265500,90,670,N,1153,2678,58400,54600,0.430545,Active,non-default,FL,"40,171",1
1446,31,218610,90,588,N,831,1930,64000,54628,0.43057,Active,non-default,AL,"38,111",1
1447,29,139100,90,745,Y,1019,4600,58000,54900,0.221522,Active,non-default,NY,"44,228",1
1448,32,247500,90,670,N,534,3700,63000,54900,0.144324,Active,non-default,OH,"44,160",1
1449,26,220000,76,640,N,928,2320,55000,54900,0.4,Active,non-default,PA,"44,286",1
1450,38,237000,100,767,N,848,2298,55000,55000,0.369017,Active,non-default,AK,"54,627",1
1451,37,168500,100,713,N,617,1863,61000,55000,0.331186,Active,non-default,NC,"39,000",1
1452,40,267650,100,562,Y,1198,1554,56000,55000,0.770914,Active,non-default,IL,"45,787",1
1453,34,284459,100,706,N,465,2909,55000,55000,0.159849,Active,non-default,PA,"44,286",1
1454,42,193179,100,738,Y,1108,3167,55000,55000,0.349858,Active,non-default,PA,"44,286",1
1455,38,260625,100,585,N,989,2904,63700,55000,0.340565,Active,non-default,MS,"33,659",1
1456,31,138453,100,696,N,519,7300,55000,55000,0.071096,Active,non-default,MD,"56,763",1
1457,29,204206,97,706,N,1974,3800,56000,55000,0.519474,Active,non-default,TX,"41,275",1
1458,32,146700,90,778,N,823,1923,55000,55000,0.427977,Active,non-default,NC,"39,000",1
1459,30,182700,102,636,N,1041,3300,85000,55000,0.315455,Active,non-default,OH,"44,160",1
1460,37,257569,90,601,N,846,1953,58500,55000,0.43318,Active,non-default,AL,"38,111",1
